Start,End
2025-11-12 21:36:22.081917,2025-11-12 21:36:25.815672
2025-11-12 21:36:25.926577,2025-11-12 21:36:26.878030
2025-11-12 21:36:26.944325,2025-11-12 21:36:27.120222
2025-11-12 21:36:29.885673,2025-11-12 21:36:31.855717
2025-11-12 21:36:32.004162,2025-11-12 21:36:32.291438
2025-11-12 21:36:32.414922,2025-11-12 21:36:32.479539
2025-11-12 21:36:33.491557,2025-11-12 21:36:33.692291
2025-11-12 21:36:33.728416,2025-11-12 21:36:36.088525
2025-11-12 21:36:36.985957,2025-11-12 21:36:40.282866
2025-11-12 21:36:41.663602,2025-11-12 21:36:42.575552
2025-11-12 21:36:43.331661,2025-11-12 21:36:43.648259
2025-11-12 21:36:44.479272,2025-11-12 21:36:45.033516
2025-11-12 21:36:45.371373,2025-11-12 21:36:45.487425
2025-11-12 21:36:45.791402,2025-11-12 21:36:46.048424
2025-11-12 21:36:46.095162,2025-11-12 21:36:46.160578
2025-11-12 21:36:48.546473,2025-11-12 21:36:48.846527
